N,S,E,W,NS,EW,cycle,gN,gS,gE,gW,hour,weather_clear,weather_rain,weather_heavy_rain,weather_fog,weather_snow,has_event,day_of_week,is_weekend,delay_N,delay_S,delay_E,delay_W,total_delay
576.889781447993,283.49738699592854,1024.9501188447978,1370.4231662746336,860.3871684439215,2395.3732851194313,60.0,8.850369903378773,4.221285839923069,13.905915915131029,21.02242834156713,2,1.0,0.0,0.0,0.0,0.0,0.0,5,1.0,22.33022754452926,26.071666864867527,18.95644024253383,14.609019905822612,81.96735455775323
594.5685323253587,1956.5713966494352,1011.5944424794305,1565.7244198165122,2551.1399289747937,2577.318862295943,60.0,4.849864454794581,20.884238455691886,8.181503715992566,14.084393373520971,13,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,30.98709774558941,20.71667032459175,28.352981397759592,24.545722864900515,104.60247233284126
2505.7398168102122,2428.23952146286,3772.868629527002,3146.885760735372,4933.979338273072,6919.754390262375,130.0728064899126,24.959201824491746,24.18723599625396,37.58083299387919,31.345535675287707,11,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0,49.019160440336655,49.2791489628162,inf,47.46774744806612,inf
2664.277257741434,338.2093035500212,4250.425846408356,1555.0375952122815,3002.486561291455,5805.463441620637,60.0,14.51930452935215,1.8431129337738865,23.16321511363571,8.474367423238252,12,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,20.99837138722232,28.2667858840633,inf,23.561664609359248,inf
200.0,518.7336488466509,934.9870622773609,641.0222918673998,718.7336488466509,1576.0093541447607,60.0,4.0943206551568965,9.632973040269627,21.578778574592334,12.693927729981137,3,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,26.144497772596182,21.640977241039824,13.569074054969402,19.378937393368965,80.73348646197437
1635.2896387841765,1916.8183943755741,2667.6480862937756,2356.3031483472737,3552.1080331597504,5023.951234641049,60.0,8.143352995553949,11.290725436455777,14.849666336973074,13.7162552310172,3,1.0,0.0,0.0,0.0,0.0,0.0,5,1.0,23.881719479307325,21.97339368418261,20.803568614310745,20.992890639023024,87.65157241682371
6500.0,6500.0,6500.0,6500.0,13000.0,13000.0,180.0,42.0,42.0,42.0,42.0,7,1.0,0.0,0.0,0.0,0.0,1.0,4,0.0,inf,inf,inf,inf,inf
1067.249033170657,820.822286815118,721.1682392490956,338.63294266997593,1888.071319985775,1059.8011819190715,60.0,17.837016339153426,12.972528283233714,12.164716145189963,5.025739232422895,22,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,16.246173001330753,19.38554636404527,19.875736555057287,25.384767429909765,80.89222335034307
2245.027269666524,1576.666205401053,2018.0470042898792,1778.741220375013,3821.693475067577,3796.7882246648924,60.0,13.548717167276074,8.962619708967361,14.446784106674226,11.041879017082339,22,0.0,1.0,0.0,0.0,0.0,0.0,6,1.0,24.883121753701012,27.089488459404983,23.729782904655575,25.783634056318274,101.48602717407985
2324.3366963705475,4268.150414895188,3383.5837120478022,3325.002307015846,6592.487111265736,6708.586019063649,180.0,29.35767371279629,53.909129186528645,42.73655652098155,41.99664057969351,21,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,70.45595165412772,inf,67.3729268656845,67.43577445930055,inf
5481.714474843165,6500.0,3610.1934943153465,5293.948134647489,11981.714474843164,8904.141628962836,180.0,44.093382009168984,52.28418670379551,29.039389337478692,42.58304194955681,17,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,inf,inf,inf,inf,inf
1465.1643362747463,1413.7533106390379,483.84175531545134,761.4487669848343,2878.917646913784,1245.2905223002856,60.0,17.05245837641359,16.45410612811176,5.6312395743029215,8.862195921171729,4,0.0,0.0,0.0,0.0,1.0,0.0,5,1.0,29.534878492281933,29.78642280224146,37.855064029508696,34.746998692461915,131.92336401649402
824.1969759518902,732.8503742085404,813.7918519203027,1381.2590302127492,1557.0473501604306,2195.050882133052,60.0,10.109510517343637,9.649829422401607,10.373539907996935,17.86712015225782,1,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,26.0910196094548,26.381577059243003,25.831990271310207,20.55250933749419,98.8570962775022
2032.4200137211842,4996.25340158515,2919.989075798711,3198.549679910145,7028.6734153063335,6118.538755708856,180.0,25.971023960343786,63.843996776503786,37.31271377940377,40.872265483748656,12,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,84.36337278143385,inf,inf,inf,inf
2204.2099607975388,1664.7941547195333,1845.6199201151173,1995.032232650836,3869.004115517072,3840.6521527659534,60.0,14.440644146611726,9.595041192609767,10.638341229926862,13.325973430851647,4,1.0,0.0,0.0,0.0,0.0,0.0,3,0.0,20.286819344350924,22.863059685907874,22.33517107882835,20.70208123415206,86.18713134323922
1749.115673717244,340.6458215802096,2547.163673644723,731.721540493804,2089.7614952974536,3278.885214138527,60.0,14.257642389787568,3.94300898793437,24.099535424817528,5.699813197460533,13,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.712366770235228,26.350423315523145,15.004863147152971,25.05472766384524,86.12238089675658
200.0,1701.2797603621227,680.9040898838971,2247.9507821544335,1901.2797603621227,2928.8548720383305,60.0,3.9119979522168267,14.989811136025194,5.992268696140144,23.10592221561783,6,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0,26.31084493191905,19.142835376810282,24.774980696221764,14.934559401622908,85.163220406574
1358.9948646830712,2173.758365074655,723.788391407949,1790.669102209279,3532.7532297577263,2514.457493617228,60.01250970518547,10.497407932470173,17.941372802630625,5.321396578659667,14.252332391425009,23,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,27.034027922827843,23.753886463893682,30.677529968983404,25.128927152559072,106.594371508264
4986.943774678803,5526.836155216689,3048.5866349528105,4083.40676242896,10513.779929895492,7131.993397381771,180.0,47.479163344512486,52.619313240360675,29.02465905987577,38.87686435525106,21,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,inf,inf,73.32916275758278,inf,inf
604.048816270853,1132.9390630585533,1280.1409385779095,366.99221090940836,1736.9878793294063,1647.133149487318,60.0,7.15372541221977,13.570277665138663,22.221039568235746,4.908516884793561,1,0.0,1.0,0.0,0.0,0.0,0.0,5,1.0,27.438341296479425,22.639585964819915,16.319347602964434,29.387345909866077,95.78462077412985
2564.3418424391166,2434.2259429485734,1414.1425125118465,2663.02685190351,4998.56778538769,4077.1693644153565,60.0,14.579246904897404,13.20151916541906,6.659020272698071,13.560213656985464,5,1.0,0.0,0.0,0.0,0.0,0.0,5,1.0,20.790899256391985,21.440946775638913,24.791400588187813,21.580265433609423,88.60351205382814
